,"add","classes","filterAbstractClasses","length","ArrayList","isAbstract","Suite","size","klass","arg0","builder","toArray","filteredList","Class","getModifiers","clazz","Modifier","getClasses"
"add",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"classes",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"filterAbstractClasses",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"length",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ArrayList",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"isAbstract",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Suite",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"size",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"klass",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"builder",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"toArray",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"filteredList",1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"Class",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"getModifiers",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"clazz",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"Modifier",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"getClasses",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
